Unnamed: 0,ucdp_name,ucdp_dset_id,year,modeledarticles,countT1,countT2,propT1,propT2,propdiff,propdif.L1,propdif.L2,delta1,delta1.5,delta2,delta1_L2,gap25,gap50,counter,frexWords,side_b_dset_id,region
1,KDPI,164,1990,14,8,6,0.57,0.43,-0.14,0.0,,0,0,0,0,1,1,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
2,KDPI,164,1991,1,1,0,1.0,0.0,-1.0,-0.86,,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
3,KDPI,164,1992,1,1,0,1.0,0.0,-1.0,0.0,-0.86,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
4,KDPI,164,1993,5,5,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
5,KDPI,164,1994,5,5,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
6,KDPI,164,1995,3,3,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
7,KDPI,164,1996,4,4,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,opposit,hengaw,link,men,organ,re,suspicion,human,two",164,Multiple
8,KDPI,164,2016,14,0,14,0.0,1.0,1.0,2.0,2.0,1,1,1,1,0,0,0,"clash,rudaw,kurdistan,irgc,rebel,terrorist,group,region,milit,secur",164,Multiple
9,KDPI,164,2017,2,0,2,0.0,1.0,1.0,0.0,2.0,0,0,0,1,0,0,1,"clash,rudaw,kurdistan,irgc,rebel,terrorist,group,region,milit,secur",164,Multiple
10,KDPI,164,2018,7,0,7,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,2,"clash,rudaw,kurdistan,irgc,rebel,terrorist,group,region,milit,secur",164,Multiple
11,KDPI,164,2019,8,3,5,0.38,0.62,0.24,-0.76,-0.76,0,0,0,0,1,1,3,"clash,rudaw,kurdistan,irgc,rebel,terrorist,group,region,milit,secur",164,Multiple
12,KDPI,164,2020,4,0,4,0.0,1.0,1.0,0.76,0.0,0,0,0,0,0,0,4,"clash,rudaw,kurdistan,irgc,rebel,terrorist,group,region,milit,secur",164,Multiple
13,CPP,169,1989,92,92,0,1.0,0.0,-1.0,0.0,,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
14,CPP,169,1990,83,83,0,1.0,0.0,-1.0,0.0,,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
15,CPP,169,1991,95,95,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
16,CPP,169,1992,51,51,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
17,CPP,169,1993,21,21,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
18,CPP,169,1994,14,14,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
19,CPP,169,1995,7,7,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
20,CPP,169,1996,2,2,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
21,CPP,169,1997,11,11,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
22,CPP,169,1998,1,0,1,0.0,1.0,1.0,2.0,2.0,1,1,1,1,0,0,0,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
23,CPP,169,1999,32,23,9,0.72,0.28,-0.44,-1.44,0.56,1,0,0,1,0,1,0,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
24,CPP,169,2000,27,27,0,1.0,0.0,-1.0,-0.56,-2.0,0,0,0,1,0,0,1,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
25,CPP,169,2001,33,33,0,1.0,0.0,-1.0,0.0,-0.56,0,0,0,0,0,0,2,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
26,CPP,169,2002,90,89,1,0.99,0.01,-0.98,0.02,0.02,0,0,0,0,0,0,3,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
27,CPP,169,2004,21,21,0,1.0,0.0,-1.0,-0.02,0.0,0,0,0,0,0,0,4,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
28,CPP,169,2006,2,2,0,1.0,0.0,-1.0,0.0,-0.02,0,0,0,0,0,0,5,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
29,CPP,169,2007,11,11,0,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,6,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
30,CPP,169,2008,68,67,1,0.99,0.01,-0.98,0.02,0.02,0,0,0,0,0,0,7,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
31,CPP,169,2009,51,47,4,0.92,0.08,-0.84,0.14,0.16,0,0,0,0,0,0,8,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
32,CPP,169,2010,70,57,13,0.81,0.19,-0.62,0.22,0.36,0,0,0,0,0,0,9,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
33,CPP,169,2011,93,29,64,0.31,0.69,0.38,1.0,1.22,1,0,0,1,0,1,0,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
34,CPP,169,2012,77,19,58,0.25,0.75,0.5,0.12,1.12,0,0,0,1,0,1,1,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
35,CPP,169,2013,72,37,35,0.51,0.49,-0.02,-0.52,-0.4,0,0,0,0,1,1,2,"r,communist,leftist,two,s,die,polic,three,manila,four",169,Asia
36,CPP,169,2014,92,30,62,0.33,0.67,0.34,0.36,-0.16,0,0,0,0,0,1,3,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
37,CPP,169,2015,91,17,74,0.19,0.81,0.62,0.28,0.64,0,0,0,0,0,0,4,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
38,CPP,169,2016,56,7,49,0.12,0.88,0.76,0.14,0.42,0,0,0,0,0,0,5,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
39,CPP,169,2017,78,10,68,0.13,0.87,0.74,-0.02,0.12,0,0,0,0,0,0,6,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
40,CPP,169,2018,57,7,50,0.12,0.88,0.76,0.02,0.0,0,0,0,0,0,0,7,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
41,CPP,169,2019,64,11,53,0.17,0.83,0.66,-0.1,-0.0800000000000001,0,0,0,0,0,0,8,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
42,CPP,169,2020,76,2,74,0.03,0.97,0.94,0.28,0.18,0,0,0,0,0,0,9,"npa,encount,davao,hurt,sur,del,samar,npas,red,cotabato",169,Asia
43,CPP,169,2005,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,11,,169,Asia
44,CPP,169,2003,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,10,,169,Asia
45,KNU,180,1990,16,7,9,0.44,0.56,0.12,0.36,,0,0,0,0,1,1,0,"oslo,knu,situat,r,burma,democrat,karen,bangkok,burmes,irrawaddi",180,Asia
46,KNU,180,1991,15,13,2,0.87,0.13,-0.74,-0.86,-0.5,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
47,KNU,180,1989,24,15,9,0.62,0.38,-0.24,0.0,,0,0,0,0,1,1,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
48,KNU,180,1994,6,6,0,1.0,0.0,-1.0,0.0,-0.34,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
49,KNU,180,1995,8,7,1,0.88,0.12,-0.76,0.24,0.24,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
50,KNU,180,1997,1,1,0,1.0,0.0,-1.0,-0.24,0.0,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
51,KNU,180,1998,3,2,1,0.67,0.33,-0.34,0.66,0.42,0,0,0,0,0,1,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
52,KNU,180,1999,2,2,0,1.0,0.0,-1.0,-0.66,0.0,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
53,KNU,180,2000,4,4,0,1.0,0.0,-1.0,0.0,-0.66,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
54,KNU,180,2001,5,4,1,0.8,0.2,-0.6,0.4,0.4,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
55,KNU,180,2002,22,22,0,1.0,0.0,-1.0,-0.4,0.0,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
56,KNU,180,2003,4,4,0,1.0,0.0,-1.0,0.0,-0.4,0,0,0,0,0,0,0,"knu,situat,r,burma,karen,myanmar,bangkok,kill,democrat,clash",180,Asia
57,KNU,180,2004,3,1,2,0.33,0.67,0.34,1.34,1.34,1,0,0,1,0,1,0,"oslo,knu,situat,r,burma,democrat,karen,bangkok,burmes,irrawaddi",180,Asia
